"Variable","Overall","Rank"
"stratumID",0.00000000483027753785097,16
"scen",0.0000000127254558175425,9
"topo",0.000000000905246900716674,21
"precip",0.000000133377469222325,1
"rz_storage",0.0000000488111929996827,2
"evap",0.0000000202844458415237,3
"tmin",0.000000019920868772739,4
"trans",0.0000000184804128407985,6
"plantc",0.0000000185424661939623,5
"peak_swe",0.0000000156441160940334,7
"summer_tavg",0.0000000135302116136896,8
"sat_deficit",0.0000000123150049846312,10
"winter_tavg",0.0000000099151878004488,11
"tmax",0.00000000962492926268532,12
"lai",0.00000000623916718133953,13
"height",0.00000000282276663627279,18
"elev",0.00000000362154377239183,17
"slope",0.00000000267604485590901,19
"aspect",0.00000000225055407026557,20
"spring_tavg",0.00000000587189980946911,15
"fall_tavg",0.00000000614583958890069,14
